host,journal_name,seed_url,platform,mapped_adapter,article_container_selector,title_selector,article_url_selector,pdf_link_selector,author_selector,date_selector,volume_selector,pagination_type,next_page_selector,pagination_param,max_pages_checked,pages_visited,pdfs_found,smoke_result,csv_status,next_action,last_checked_utc,notes
www.law.georgetown.edu,American Criminal Law Review,https://www.law.georgetown.edu/american-criminal-law-review/in-print/,wordpress,WordPressAcademicBaseAdapter,.typography p,.typography p > a,.typography p > a,.abstract_alt a[href$="".pdf""],.typography p trailing text,h1.page_title,h1.page_title,none,N/A,N/A,1,1,1,PASS,active,Locate and sample the pre-2019 backfile; reconcile displayed issue labels against malformed slugs.,2026-07-14T18:10:34Z,"Current article smoke passed with title, author, volume, year, abstract, and a 449563-byte PDF; visible archive covers 2019-2026."
yaleconnect.yale.edu,"Yale Journal of Health Policy, Law, and Ethics",https://yaleconnect.yale.edu/archive/?club_url=yjhple,yale-connect-campusgroups,UnmappedAdapter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,unknown,N/A,N/A,1,1,0,HARD_FAIL: JS_SHELL_ROBOTS_PARTIAL,needs_headless,Confirm whether a robots-permitted archive endpoint exists in an authorized browser session.,2026-07-14T18:12:00Z,"Target redirects to a generic JavaScript loading shell; robots disallows /*ajax_widget_new and /downloads/; stopped after three probes."
journals.law.harvard.edu,Harvard Law & Policy Review,https://journals.law.harvard.edu/lpr/hlprvolumes/,wordpress,WordPressAcademicBaseAdapter,".entry-content .wp-block-file, .entry-content p:has(a[href$="".pdf""])",".wp-block-file a[href$="".pdf""], p a[href$="".pdf""]",N/A,".entry-content a[href$="".pdf""]",".wp-block-file + p; legacy trailing paragraph text",.entry-content opening issue label,h1.entry-title,none,N/A,N/A,1,1,1,PASS,active,Implement both issue layouts and classify front matter and whole-volume files before acquisition.,2026-07-14T18:12:00Z,"Volumes 1-20 are on one archive page; oldest/middle/newest issues sampled; 1124720-byte article PDF returned application/pdf and %PDF-1.3 with 3/3 core metadata fields."
journals.law.harvard.edu,Harvard International Law Journal,https://journals.law.harvard.edu/ilj/category/archives/,wordpress,WordPressAcademicBaseAdapter,article.category-archives,"article.category-archives a[href$="".pdf""]",article.category-archives .entry-title a,"article.category-archives a[href$="".pdf""]",text following By:,article.category-archives entry date,article.category-archives issue heading,next_link,.nav-links a.next.page-numbers,N/A,6,1,0,HARD_FAIL: NO_PDF_SMOKE,in_progress,Sample archive pages 3 and 6 plus one issue and one PDF while respecting Crawl-delay 10.,2026-07-14T18:12:00Z,"Legacy apex harvardilj.org does not resolve; canonical archive page 1 of 6 exposes direct PDFs and issue metadata, but historical eras and file responses remain unsampled."
law.stanford.edu,"Stanford Journal of Law, Business & Finance",https://law.stanford.edu/stanford-journal-of-law-business-finance-sjlbf/sjlbf-archive/,wordpress,SelectorDrivenAdapter,article.loop-item.pt-publication,N/A,N/A,"a[href$="".pdf""]",N/A,N/A,N/A,unknown,N/A,N/A,0,0,0,HARD_FAIL: ROBOTS_CRAWL_DELAY_600,in_progress,Schedule a crawl-delay-compliant archive and single-PDF probe; do not activate provisional selectors first.,2026-07-14T18:12:00Z,"Robots allows the journal path but specifies Crawl-delay 600; archive was not fetched in the bounded run and selectors remain local-sitemap evidence only."
openscholarship.wustl.edu,Washington University Journal of Law & Policy,https://openscholarship.wustl.edu/law_journal_law_policy/all_issues.html,digitalcommons-to-janeway,DigitalCommonsIssueArticleHopAdapter with Janeway handoff,div.article-list div.doc,"div.doc p:not(.pdf) > a[href*=""/law_journal_law_policy/""]","div.doc a[href*=""journals.library.wustl.edu/lawpolicy/article/id/""]","meta[name=""citation_pdf_url""]",div.doc span.auth / meta[name=""citation_author""],meta[name=""citation_publication_date""],meta[name=""citation_volume""],none,N/A,N/A,1,5,1,PASS_WITH_JANEWAY_HANDOFF,active,Implement the scoped Janeway handoff and sample two more Janeway article pages before acquisition.,2026-07-14T18:11:07Z,"Legacy archive lists volumes 1-66 and three issue eras shared stable markup; Janeway article supplied title, author, abstract, date, volume, issue, and a 415214-byte PDF."
journals.law.harvard.edu,Harvard Journal of Law & Gender,https://journals.law.harvard.edu/jlg/past-volumes/,wordpress,SelectorDrivenAdapter,figure.wp-block-table tr,figure.wp-block-table tr td:first-child a,N/A,"figure.wp-block-table tr td:first-child a[href$="".pdf"" i]",first-cell trailing text,nearest preceding h2.wp-block-heading,nearest preceding h2.wp-block-heading,none,N/A,N/A,1,1,109,METADATA_ONLY: PDF_UNCHECKED,todo_smoke,Run one direct-PDF smoke with Crawl-delay 10; preserve unlinked older rows as metadata-only gaps.,2026-07-14T18:11:50Z,"Canonical archive has 43 volume headings from 2003-2024 and 109 direct PDF links; requested harvardjlg.com robots returned HTTP 401 Basic Auth and was not crawled."
www.law.georgetown.edu,Georgetown Journal of Legal Ethics,https://www.law.georgetown.edu/legal-ethics-journal/in-print/,wordpress,WordPressAcademicBaseAdapter,.typography p,h1.abstract_alt_volume_title,".typography p > a[href*=""/legal-ethics-journal/in-print/volume-""]",".abstract_alt a[href$="".pdf""], .main_content a[href$="".pdf""]",.published_author,issue slug season/year,issue slug volume,none,N/A,N/A,1,2,1,PASS,active,Sample one middle nested article and one oldest direct-PDF entry before broad acquisition.,2026-07-14T18:27:00Z,"Current sample exposed title, author, abstract, volume, issue, year, and a 639517-byte PDF; archive mixes nested current pages with legacy direct PDFs."
www.law.georgetown.edu,Georgetown Journal of Gender and the Law,https://www.law.georgetown.edu/gender-journal/in-print/,wordpress,WordPressAcademicBaseAdapter,.typography p,h1.abstract_alt_volume_title,".typography p > a[href*=""/gender-journal/in-print/volume-""]",".abstract_alt a[href$="".pdf""], .main_content a[href$="".pdf""]",.published_author,issue slug season/year,issue slug Roman volume,none,N/A,N/A,1,2,1,PASS,active,Sample one middle and oldest issue; preserve Roman volume and exclude mastheads.,2026-07-14T18:27:00Z,"Current sample exposed title, two authors, abstract, Roman volume, issue, issue year, and a 342321-byte article PDF; archive also contains masthead PDFs."
law.vanderbilt.edu,Vanderbilt Journal of Entertainment and Technology Law,https://law.vanderbilt.edu/publications/jetlaw/print-archive/,wordpress-to-digitalcommons,IssueArchiveEnumeratorAdapter with DigitalCommonsIssueArticleHopAdapter handoff,.accordion,.accordion heading,".accordion a[href*=""scholarship.law.vanderbilt.edu/jetlaw/vol""]","meta[name=""bepress_citation_pdf_url""]",meta[name=""bepress_citation_author""],meta[name=""bepress_citation_online_date""],meta[name=""bepress_citation_volume""],none,N/A,N/A,1,3,1,HARD_FAIL: PDF_403,paused_waf,Run metadata-only enumeration and test an approved browser/cookie-aware file lane without using /do/.,2026-07-14T18:27:00Z,"Legacy WordPress URL redirects to a metadata-rich current archive; Digital Commons cover page has title, author, abstract, date, volume, issue, citation, and PDF URL, but one file GET returned 744-byte HTTP 403 HTML."
www.nyujlb.org,New York University Journal of Law & Business,https://www.nyujlb.org/blog-posts-sitemap.xml,wix-blog,UnmappedAdapter,"[data-hook=""post-list-item""]",h1,"[data-hook=""post-list-item""] a[href*=""/single-post/""]",N/A,"[data-hook=""user-name""]","[data-hook=""post-list-item""] display date",N/A,none,N/A,N/A,1,2,0,METADATA_ONLY: HTML_POSTS,metadata_only,Keep JLB Online in a metadata-only Wix lane and separately locate the print volume archive.,2026-07-14T18:27:00Z,"Sitemap exposes 133 deterministic post URLs; sampled page has title, author, and full HTML body but no journal-owned PDF, volume, or issue. External cited PDFs are non-holdings."
www.law.georgetown.edu,Georgetown Journal of Law & Public Policy,https://www.law.georgetown.edu/public-policy-journal/in-print/,wordpress,WordPressAcademicBaseAdapter,"main p:has(a[href*=""/public-policy-journal/in-print/volume-""])",h1.abstract_alt_volume_title,"main a[href*=""/public-policy-journal/in-print/volume-""]","main a[href*=""/wp-content/uploads/sites/23/""][href$="".pdf"" i]",div.published_author,h1.page_title,h1.page_title,none,N/A,N/A,1,3,1,PASS,active,Sample a middle and oldest visible issue; then replace all /in-print-2/ seeds with /in-print/.,2026-07-14T18:11:41Z,"Requested /in-print-2/ is a stale 404; live archive covers visible volumes 18-23. Current article exposed title, authors, extensive text, volume/year context, and a 392959-byte PDF."
repository.law.umich.edu,Michigan Journal of International Law,https://repository.law.umich.edu/mjil/all_issues.html,digitalcommons,DigitalCommonsIssueArticleHopAdapter,div.article-list div.doc,div.doc span.doctitle > a,div.doc p:not(.pdf) a,"div.doc p.pdf > a[href*=""context=mjil""]",div.doc span.auth,archive issue heading,URL /vol{volume}/,none,N/A,N/A,1,5,0,HARD_FAIL: PDF_403,paused_waf,Run metadata-only all_issues traversal and seek an approved Digital Commons file route.,2026-07-14T18:25:31Z,"Volumes 1-47 and stable issue metadata are reachable with title, author, volume, issue, year, and start page; one normalized viewcontent request returned the shared 744-byte Digital Commons 403 HTML."
repository.uclawsf.edu,UC Law Journal,https://repository.uclawsf.edu/hastings_law_journal/all_issues.html,digitalcommons,DigitalCommonsIssueArticleHopAdapter,div.article-list div.doc,div.doc p:not(.pdf) > a,div.doc p:not(.pdf) > a,"div.doc p.pdf > a[href*=""context=hastings_law_journal""]",div.doc span.auth,archive volume heading,URL /vol{volume}/,none,N/A,N/A,1,5,0,HARD_FAIL: PDF_403,paused_waf,Run rename-aware metadata-only traversal and seek an approved Digital Commons file route.,2026-07-14T18:25:31Z,"Historical slug exposes volumes 1-77 across Hastings and UC Law Journal naming eras; one normalized viewcontent request returned the shared 744-byte Digital Commons 403 HTML."
www.law.georgetown.edu,Georgetown Immigration Law Journal,https://www.law.georgetown.edu/immigration-law-journal/in-print/,wordpress,WordPressAcademicBaseAdapter,"main a[href*=""/immigration-law-journal/in-print/volume-""]",h1.abstract_alt_volume_title,"main a[href*=""/immigration-law-journal/in-print/volume-""]","a.pdfemb-viewer[href$="".pdf""], main a[href*=""/wp-content/uploads/sites/19/""][href$="".pdf"" i]",.published_author,nearest issue heading / URL season-year,nearest issue heading / URL volume,none,N/A,N/A,1,2,1,PASS,active,Run selector-only checks on newest/middle/oldest visible articles and locate a scoped pre-2017 backfile.,2026-07-14T18:25:31Z,"Single archive page exposes issues and article links for 2017-2026; representative sites/19 article PDF returned application/pdf, 460090 bytes, and %PDF-1.7 with volume and year present."
arizonajournal.org,Arizona Journal of International and Comparative Law,https://arizonajournal.org/archive,wordpress-to-dspace,SelectorDrivenAdapter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,infinite_scroll,N/A,N/A,1,1,0,HARD_FAIL: TLS_AND_JS_SHELL,needs_headless,Repair or verify journal TLS; then render the robots-permitted DSpace collection in an authorized browser.,2026-07-14T18:40:50Z,"Apex and www robots failed on a self-signed certificate without bypass. Repository robots requires Crawl-delay 10 and disallows search/browse/core APIs; the legacy handle redirects to a DSpace Angular collection shell with no server-rendered records."
htlj.org,Santa Clara High Technology Law Journal,https://www.htlj.org/archives/,wordpress-canonical-digitalcommons-fallback,WordPressAcademicBaseAdapter preferred / DigitalCommonsIssueArticleHopAdapter fallback,div.article-list div.doc,div.doc p:not(.pdf) > a,div.doc p:not(.pdf) > a,"div.doc p.pdf > a[href*=""context=chtlj""]",div.doc span.auth,meta[name=""bepress_citation_date""],meta[name=""bepress_citation_volume""],none,N/A,N/A,1,2,0,HARD_FAIL: CANONICAL_TLS_AND_DC_PDF_403,paused_other,Repair canonical WordPress TLS and re-probe /archives/ before relying on the metadata-only DC fallback.,2026-07-14T18:41:16Z,"Preferred WordPress robots failed certificate validation. DC fallback archive and current article supplied title, author, abstract, volume, issue, year, date, and page; representative file returned 744-byte HTTP 403 HTML."
academic.oup.com,Journal of International Economic Law,https://academic.oup.com/jiel,oxford-academic,UnmappedAdapter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,unknown,N/A,N/A,0,1,0,HARD_FAIL: WAF_BLOCKED_CLOUDFLARE,paused_waf,Retry from an authorized browser or allowlisted network; then diagnose issue/article selectors and paywall status.,2026-07-14T18:40:38Z,"Robots permits /jiel but the first content request returned a Cloudflare managed challenge HTTP 403; no challenge solving or retry attempted."
www.cambridge.org,Law & Social Inquiry,https://www.cambridge.org/core/journals/law-and-social-inquiry/all-issues,cambridge-core,CambridgeCoreAdapter,ul.overview,li.title a,li.title a,"meta[name=""citation_pdf_url""], a[href*=""/core/services/aop-cambridge-core/content/view/""][href*="".pdf/""]","li.author a, meta[name=""citation_author""]","meta[name=""citation_online_date""]",archive year/volume panel heading,none,N/A,N/A,1,3,1,PASS,active,Sample newest assigned issue plus middle and oldest issues and the 1987/1988 predecessor transition.,2026-07-14T18:26:30Z,"All-issues page exposes Volumes 13-51 plus predecessor handoff; current article has rich citation meta and a 354682-byte 34-page PDF that passed application/pdf and %PDF-1.3 checks."
yaleconnect.yale.edu,Yale Journal of Law and Feminism,https://yaleconnect.yale.edu/yjlf/home/,yale-connect-to-openyls,YaleConnectOpenYLSHandoffAdapter,".vc_single_image-wrapper p, .cgLead p","a[href*=""drive.google.com/file/""]","a[href*=""drive.google.com/file/""], a[href*=""openyls.law.yale.edu/handle/""]","a[href*=""drive.google.com/file/""]",preceding text node before title anchor,N/A,"p > b:first-child (Volume N.M)",none,N/A,N/A,1,3,0,HARD_FAIL: PDF_ROBOTS,paused_robots,Map OpenYLS items and bitstreams through robots-permitted sitemap/core mapping routes with Crawl-delay 10; do not fetch Google usercontent.,2026-07-14T18:26:30Z,"Recent page exposes Volumes 36.1-37.1 with titles and fragile author text; public Drive viewer returns HTML and the disclosed binary host disallows all crawling; OpenYLS collection is an Angular shell."
www.law.nyu.edu,Clinical Law Review,https://www.law.nyu.edu/journals/clinicallawreview,drupal-10,NyuClinicalLawReviewAdapter,"article p:has(a[href$="".pdf""]), main p:has(a[href$="".pdf""]) ",paragraph text before br,N/A,"article p a[href$="".pdf""][data-entity-type=""media""], main p a[href$="".pdf""][data-entity-type=""media""]","a[href$="".pdf""] em",h1,h1,none,N/A,N/A,1,2,5,PASS,active,Sample middle and oldest visible issue pages and locate the pre-2010 backfile before acquisition.,2026-07-14T18:26:30Z,"Homepage lists Volumes 17.1-32.2 with some label/slug defects; newest issue exposes four article PDFs plus whole issue, and a 361004-byte 58-page article PDF passed application/pdf and %PDF-1.7 checks."
www.law.nyu.edu,Tax Law Review,https://www.law.nyu.edu/taxlawreview/issues,drupal,UnmappedAdapter,dl.ckeditor-accordion,dl.ckeditor-accordion > dt,N/A,N/A,dl.ckeditor-accordion > dd > p:first-child,N/A,nearest preceding h3,none,N/A,N/A,1,2,0,HARD_FAIL: STALE_NO_PDF,paused_other,Locate the current publisher or repository archive; retain this route as metadata-only if needed.,2026-07-14T18:41:24Z,"Page exposes 12 title, author, abstract, volume, and issue records but no year, article link, or PDF; labels and 2017-law discussion indicate the Volume 72-73 route is stale."
www.law.upenn.edu,University of Pennsylvania Journal of Law and Social Change,https://www.law.upenn.edu/journals/jlasc,unknown-cloudfront,UnmappedAdapter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,unknown,N/A,N/A,0,0,0,HARD_FAIL: ROBOTS_403,paused_waf,Retry robots and canonical-host normalization from an approved network or browser lane.,2026-07-14T18:41:24Z,"CloudFront blocked robots.txt with HTTP 403; stopped before requesting the journal target, so selectors and metadata remain unverified."
scholarship.law.ufl.edu,Journal of Technology Law & Policy,https://scholarship.law.ufl.edu/jtlp/all_issues.html,digitalcommons,DigitalCommonsIssueArticleHopAdapter,div.doc,div.doc p:not(.pdf) > a,div.doc p:not(.pdf) > a,"div.doc p.pdf > a[href*=""context=jtlp""]",div.doc span.auth,archive volume heading,URL /vol{volume}/,none,N/A,N/A,1,2,3,HARD_FAIL: PDF_403,paused_waf,Run metadata-only all-issues traversal and seek an approved Digital Commons file route.,2026-07-14T18:41:24Z,"Archive exposes 30 volumes and 53 issues from 1996-2026; newest issue has 3 titles, authors, volume, year, and PDF links, but one viewcontent request returned shared 744-byte HTTP 403 HTML."
production.wordpress.uconn.edu,Connecticut Insurance Law Journal,https://production.wordpress.uconn.edu/lawcilj/archive/,wordpress,UnmappedAdapter,.entry-content,h1.entry-title,N/A,N/A,N/A,N/A,homepage rename statement,none,N/A,N/A,1,2,0,HARD_FAIL: EMPTY_MIGRATED_ARCHIVE,paused_other,Obtain the restored Insurance Law Review archive location from the journal or UConn library.,2026-07-14T18:41:24Z,"Legacy host redirects to /lawcilj/ and announces an Insurance Law Review rename at Volume 32; canonical Archive returns 200 with empty content, no issue/article/PDF records, and robots redirects to a 404."
www.law.georgetown.edu,Georgetown Journal on Poverty Law & Policy,https://www.law.georgetown.edu/poverty-journal/in-print/,wordpress,WordPressAcademicBaseAdapter,.typography p,h1.abstract_alt_volume_title,".typography a[href*=""/poverty-journal/in-print/""], .sub_nav_children a.sub_nav_child_link",".abstract_alt a[href$="".pdf""], main a[href*=""/wp-content/uploads/sites/25/""][href$="".pdf""]",.published_author,"h1.page_title, .journal_meta",.journal_meta_box.is_volume .journal_meta_box_content,none,N/A,N/A,1,3,1,PASS,active,Sample middle and oldest visible issues and locate the pre-2018 backfile; validate every sidebar label against destination h1.,2026-07-14T18:42:00Z,"Current title, author, abstract, volume, issue, year, and sites/25 PDF route pass; 696730-byte 62-page article PDF returned application/pdf and %PDF-1.7. Sidebar has multiple label/slug mismatches."
www.jtl.columbia.edu,Columbia Journal of Transnational Law,https://www.jtl.columbia.edu/volume-64,squarespace,SquarespaceJournalVolumeAdapter,article.BlogList-item,a.BlogList-item-title,a.BlogList-item-title,".BlogItem a[href$="".pdf""], a.sqs-block-button-element[href$="".pdf""]",.sqs-html-content:first-of-type p:first-child,time.Blog-meta-item--date[datetime],URL /volume-{volume}/,none,N/A,N/A,1,4,1,PASS,active,Sample Volumes 60 and 62 plus /archives-1; reject soft-404 bodies and ignore Squarespace Blog-meta editor authors.,2026-07-14T18:42:00Z,"Volume 64 exposes ten articles; live sample has title, actual positional author, abstract, date, and a 757130-byte 48-page PDF. Homepage The Law of Gravity link is a soft 404; Blog-meta author is the site editor."
www.ecologylawquarterly.org,Ecology Law Quarterly,https://www.ecologylawquarterly.org/print/,wordpress-facetwp,EcologyLawQuarterlyFacetAdapter,.fwpl-result.fpa-post,a.fpa-post__title,a.fpa-post__title,N/A,N/A,.fpa-post__subtext__date,.fpa-post__category,unknown,N/A,N/A,1,2,0,METADATA_ONLY: PDF_UNCHECKED,todo_smoke,After Crawl-delay 10 sample one current article/PDF then map FacetWP pagination and the Berkeley historical backfile.,2026-07-14T18:43:00Z,"Requested elq.org robots timed out twice; active registry alternate exposes volume/issue/title/date/excerpt metadata. Archive author Rena McRoy is likely a posting account and must not be ingested as scholarship author without article-page corroboration."
mttlr.org,Michigan Technology Law Review,https://mttlr.org/archive/,wordpress-to-digitalcommons,MichiganTechnologyDualHostAdapter,".et_pb_text_inner table tr:has(a[href*=""/wp-content/journal/""]) ","td:first-child a[href*=""/wp-content/journal/""]",N/A,"td:first-child a[href*=""/wp-content/journal/""][href$="".pdf""]",td:nth-child(2),nearest preceding h3,.et_pb_text_inner h1,none,N/A,N/A,1,4,10,PASS_CURRENT; BACKFILE_PDF_403,active,Map the dual-host transition and locate Volumes 25-27 plus any print issues after Volume 28; seek an approved Digital Commons file lane.,2026-07-14T18:54:30Z,"Current WordPress article PDF passed at 607858 bytes and 60 pages; repository sitemap maps Volumes 1-24 with rich metadata but predecessor viewcontent returns the shared 744-byte 403 HTML."
scholarship.law.duke.edu,Duke Law & Technology Review,https://scholarship.law.duke.edu/dltr/all_issues.html,digitalcommons,DigitalCommonsIssueArticleHopAdapter,div.article-list div.doc,a.doctitle,a.doctitle,"div.doc p.pdf > a[href*=""context=dltr""]",div.doc span.auth,div.doc p.index_date,URL /vol{volume}/,none,N/A,N/A,1,3,20,HARD_FAIL: PDF_403,paused_waf,Run metadata-only Volumes 1-26 traversal and seek an approved Digital Commons binary route.,2026-07-14T18:54:30Z,"All issues and current article expose title, author, abstract, date, volume, issue, pages, citation, and subjects; normalized viewcontent returned the shared 744-byte 403 HTML."
georgetownlawtechreview.org,Georgetown Law Technology Review,https://georgetownlawtechreview.org/issues/,wordpress,GeorgetownLawTechnologyReviewAdapter,.issues--volume,"article.post h2, .slide--title a",".slide--title a, issue-page article cards","a.download-link[href$="".pdf""], article.post a[href*=""/wp-content/uploads/""][href$="".pdf""]","article.post title-adjacent author, .slide--author","article.post month/year, Cite as line",Cite as line,none,N/A,N/A,1,3,1,PASS,active,Sample Volume 1 and Volume 5 issue/article layouts and confirm the issue-page article selector before acquisition.,2026-07-14T18:54:30Z,"Issues index covers Volumes 1-10 (2016-2026); current note exposes title, author, abstract, date, citation, pages, and a 674067-byte 45-page PDF that passed application/pdf and %PDF-1.3."
jolt.law.harvard.edu,Harvard Journal of Law & Technology,https://jolt.law.harvard.edu/volumes,craft-cms-custom,HarvardJOLTAdapter,"div.volume__articles ul li, div.volume__notes ul li","div.volume__articles ul li > a[href$="".pdf""], div.volume__notes ul li > a[href$="".pdf""]",N/A,"div.volume__articles ul li > a[href$="".pdf""], div.volume__notes ul li > a[href$="".pdf""]",li text after PDF anchor and hyphen,"h2 season/year",h2 volume,none,N/A,N/A,1,1,17,PASS,active,Sample one middle and oldest sidebar volume and verify historical slug/layout variants.,2026-07-14T18:55:03Z,"Volume 39 exposes both issues for 2025-2026 with direct PDFs and 3/3 core metadata; representative 1181589-byte PDF passed application/pdf and %PDF-1.6."
btlj.org,Berkeley Technology Law Journal,https://btlj.org/category/journal/,wordpress,BerkeleyBTLJAdapter,section.cc-graf-block ul li,"section.cc-graf-block ul li a[href$="".pdf""]",N/A,"section.cc-graf-block ul li a[href$="".pdf""]",li text after by,Published On text,h1 Volume/Issue,unknown,N/A,N/A,0,2,8,PASS,active,Probe journal archive pagination plus one middle and oldest issue while retaining Crawl-delay 10.,2026-07-14T18:55:03Z,"Newest Volume 41 Issue 1 exposes complete issue, front matter, and six article PDFs with 3/3 core metadata; 923585-byte 64-page article PDF passed application/pdf and %PDF-1.7."
